gbifID,scientificName,decimalLatitude,decimalLongitude,year,eventDate
4516568382,Lontra canadensis,30.120145,-97.546771,2024,2024-01-25
4516234420,Lontra canadensis,30.910763,-97.699041,2024,2024-01-04
4512440859,Lontra canadensis,29.789835,-94.490619,2016,2016-02-13
4512383828,Lontra canadensis,30.578226,-96.220499,2024,2024-01-15
4512316920,Lontra canadensis,31.900389,-96.044249,2024,2024-01-12
4510379074,Lontra canadensis,29.450614,-95.011429,2024,2024-01-07
4510341309,Lontra canadensis,29.788796,-95.237147,2023,2023-10-29
4510311248,Lontra canadensis,29.906873,-95.673822,2023,2023-02-26
4510293120,Lontra canadensis,29.85359,-95.750603,2023,2023-07-30
4510190063,Lontra canadensis,30.966798,-97.753631,2024,2024-01-07
4510026233,Lontra canadensis,29.906722,-95.62281,2023,2023-10-03
4510005068,Lontra canadensis,29.724138,-95.355816,2023,2023-08-05
4508045394,Lontra canadensis,29.92353,-95.672277,2023,2023-12-03
4507968723,Lontra canadensis,32.747446,-96.597966,2023,2023-12-30
4507856067,Lontra canadensis,30.658851,-97.670268,2023,2023-12-24
4507678498,Lontra canadensis,32.670908,-96.849553,2023,2023-12-06
4507623541,Lontra canadensis,32.753435,-96.808895,2023,2023-12-07
4507598259,Lontra canadensis,30.958583,-97.700323,2023,2023-11-18
4506262720,Lontra canadensis,30.658053,-96.018362,2023,2023-12-20
4500689577,Lontra canadensis,31.312968,-94.776872,2023,2023-12-19
4500634715,Lontra canadensis,31.399533,-94.643266,2023,2023-12-16
4465676890,Lontra canadensis,31.978463,-96.048671,2023,2023-11-19
4465578165,Lontra canadensis,30.681269,-96.263215,2023,2023-09-20
4465456992,Lontra canadensis,30.309239,-97.726984,2023,2023-11-10
4465425157,Lontra canadensis,30.573538,-96.40116,2023,2023-12-08
4458570273,Lontra canadensis,29.826085,-95.642801,2023,2023-03-05
4458508501,Lontra canadensis,31.484433,-94.512427,2023,2023-12-05
4458424367,Lontra canadensis,33.016791,-96.644356,2023,2023-11-12
4458419056,Lontra canadensis,29.751779,-95.31654,2023,2023-11-22
4458323266,Lontra canadensis,29.825196,-95.748765,2023,2023-03-06
4453879077,Lontra canadensis,29.625334,-95.246051,2023,2023-10-06
4453813681,Lontra canadensis,33.271785,-96.84902,2023,2023-11-22
4453730652,Lontra canadensis,33.214574,-96.825082,2023,2023-09-30
4453730250,Lontra canadensis,32.608544,-95.762205,2023,2023-11-24
4444338373,Lontra canadensis,30.52092,-96.313081,2020,2020-12-24
4444338276,Lontra canadensis,30.358619,-96.717828,2020,2020-10-13
4442688811,Lontra canadensis,29.848913,-95.608395,2023,2023-11-02
4442573792,Lontra canadensis,30.964801,-97.72787,2023,2023-11-12
4442552314,Lontra canadensis,30.535243,-96.34288,2023,2023-11-14
4442383174,Lontra canadensis,31.425142,-94.68534,2023,2023-11-12
4440785218,Lontra canadensis,30.770183,-96.53435,2023,2023-11-05
4440753878,Lontra canadensis,30.376132,-97.705197,2023,2023-11-11
4440648051,Lontra canadensis,29.838922,-95.724698,2023,2023-09-15
4440597294,Lontra canadensis,30.065841,-97.046573,2023,2023-11-05
4439018747,Lontra canadensis,29.531376,-96.005375,2023,2023-10-31
